,index,time,open,high,low,close,volume
0,0,2017-01-01 00:00:00,8.28,8.28,8.28,8.28,0.0
1,60,2017-01-01 01:00:00,8.28,8.28,8.28,8.28,0.0
2,120,2017-01-01 02:00:00,8.26,8.26,8.26,8.26,0.0
3,180,2017-01-01 03:00:00,8.54,8.54,8.54,8.54,0.0
4,240,2017-01-01 04:00:00,8.54,8.54,8.54,8.54,0.0
5,300,2017-01-01 05:00:00,8.51,8.51,8.51,8.51,0.0
6,360,2017-01-01 06:00:00,8.51,8.51,8.51,8.51,0.0
7,420,2017-01-01 07:00:00,8.51,8.51,8.51,8.51,0.0
8,480,2017-01-01 08:00:00,8.51,8.51,8.51,8.51,0.0
9,540,2017-01-01 09:00:00,8.51,8.51,8.51,8.51,0.0
10,600,2017-01-01 10:00:00,8.51,8.51,8.51,8.51,0.0
11,660,2017-01-01 11:00:00,8.26,8.26,8.26,8.26,0.0
12,720,2017-01-01 12:00:00,8.26,8.26,8.26,8.26,0.0
13,780,2017-01-01 13:00:00,8.26,8.26,8.26,8.26,0.0
14,840,2017-01-01 14:00:00,8.26,8.26,8.26,8.26,0.0
15,900,2017-01-01 15:00:00,8.25,8.25,8.25,8.25,0.0
16,960,2017-01-01 16:00:00,8.26,8.26,8.26,8.26,0.0
17,1020,2017-01-01 17:00:00,8.26,8.26,8.26,8.26,0.0
18,1080,2017-01-01 18:00:00,8.3,8.3,8.3,8.3,0.0
19,1140,2017-01-01 19:00:00,8.44,8.44,8.44,8.44,3.5
20,1200,2017-01-01 20:00:00,8.44,8.44,8.44,8.44,0.0
21,1260,2017-01-01 21:00:00,8.28,8.28,8.28,8.28,0.0
22,1320,2017-01-01 22:00:00,8.17,8.17,8.17,8.17,0.0
23,1380,2017-01-01 23:00:00,8.22,8.22,8.22,8.22,0.0
24,1440,2017-01-02 00:00:00,8.24,8.24,8.24,8.24,0.0
25,1500,2017-01-02 01:00:00,8.24,8.24,8.24,8.24,0.0
26,1560,2017-01-02 02:00:00,8.24,8.24,8.24,8.24,0.0
27,1620,2017-01-02 03:00:00,8.24,8.24,8.24,8.24,0.0
28,1680,2017-01-02 04:00:00,8.15,8.15,8.15,8.15,0.0
29,1740,2017-01-02 05:00:00,8.24,8.24,8.24,8.24,0.0
30,1800,2017-01-02 06:00:00,8.17,8.17,8.17,8.17,0.0
31,1860,2017-01-02 07:00:00,8.17,8.17,8.17,8.17,0.0
