,index,time,open,high,low,close,volume
0,311,2017-01-01 12:00:00,975.0,975.0,975.0,975.0,1268.1825
1,443,2017-01-01 16:00:00,976.71,977.49,976.71,977.49,15292.909144
2,647,2017-01-01 20:00:00,996.01,996.01,996.0,996.0,996.00472528
3,841,2017-01-02 00:00:00,997.75,997.8,997.75,997.8,9197.7068194
4,1357,2017-01-02 12:00:00,1024.92,1024.95,1024.92,1024.95,2653.8214992
5,1574,2017-01-02 16:00:00,1026.65,1026.65,1025.73,1026.65,9334.5658567
6,1801,2017-01-02 20:00:00,1009.88,1009.88,1009.88,1009.88,1131.5826687
7,2016,2017-01-03 00:00:00,1011.44,1012.02,1011.43,1012.02,1287.897103
8,2381,2017-01-03 08:00:00,1014.07,1014.08,1013.95,1013.95,608.57218807
9,2586,2017-01-03 12:00:00,1023.49,1023.49,1023.49,1023.49,173.9933
10,2776,2017-01-03 16:00:00,1019.54,1019.54,1019.51,1019.51,2322.0720752
11,2968,2017-01-03 20:00:00,1016.73,1016.73,1016.36,1016.73,4381.5665593
12,3193,2017-01-04 00:00:00,1035.51,1035.74,1035.51,1035.74,1138.1740988
13,3560,2017-01-04 08:00:00,1055.97,1056.46,1055.97,1056.46,1046.3717425
14,3781,2017-01-04 12:00:00,1080.14,1081.79,1080.14,1081.66,16345.467082
15,4018,2017-01-04 16:00:00,1088.89,1089.97,1087.5,1089.92,23701.824829
16,4255,2017-01-04 20:00:00,1115.45,1117.01,1115.45,1117.01,5490.7537041
17,4488,2017-01-05 00:00:00,1114.38,1114.92,1113.94,1113.97,19983.14734
18,4889,2017-01-05 08:00:00,1109.01,1109.01,1109.0,1109.0,1098.9714081
19,5125,2017-01-05 12:00:00,1096.8,1098.23,1085.05,1085.8,122438.72547
20,5364,2017-01-05 16:00:00,992.84,992.86,990.0,990.0,59757.291145
21,5599,2017-01-05 20:00:00,958.65,958.65,958.65,958.65,143.7975
22,5832,2017-01-06 00:00:00,1004.73,1004.74,1004.73,1004.74,6573.2558086
23,6224,2017-01-06 08:00:00,981.53,981.53,981.53,981.53,78.573115655
24,6458,2017-01-06 12:00:00,900.03,902.0,899.21,902.0,19211.231328
25,6697,2017-01-06 16:00:00,912.0,914.45,912.0,912.0,8989.1200746
26,6932,2017-01-06 20:00:00,890.81,890.81,890.81,890.81,149.73579859
27,7167,2017-01-07 00:00:00,894.02,895.5,894.02,895.5,324.5485
